Segment_id,latitude,longitude,location,dist_from_start,dist_from_end
99,30.641212463378906,76.33042907714844,"Jammu - Delhi Road, Punjab 140406, India",41.64450978508656,216.07317783088573
100,30.638844,76.334453,1  Mandi Gobindgarh Fatehgarh Sahib Punjab India,42.11113556522525,215.60655205074704
101,30.636558,76.338258,National Highway 1   Fatehgarh Sahib Punjab India,42.5552961096729,215.16239150629937
102,30.634290999999997,76.341831,National Highway 1   Fatehgarh Sahib Punjab India,42.980138049538965,214.7375495664333
103,30.632324,76.345662,National Highway 1   Fatehgarh Sahib Punjab India,43.40726846613239,214.3104191498399
104,30.630153000000004,76.348667,National Highway 1   Fatehgarh Sahib Punjab India,43.782666730494384,213.9350208854779
105,30.628033,76.35238199999998,National Highway 1   Fatehgarh Sahib Punjab India,44.20938901207972,213.5082986038925
106,30.625782,76.356213,National Highway 1   Fatehgarh Sahib Punjab India,44.65343983911272,213.0642477768596
107,30.623720000000002,76.359707,National Highway 1   Fatehgarh Sahib Punjab India,45.0589974978171,212.65869011815516
108,30.621498,76.363547,1   Fatehgarh Sahib Punjab India,45.50197981043346,212.2157078055388
109,30.619121999999997,76.367573,1   Fatehgarh Sahib Punjab India,45.96930490679709,211.7483827091752
110,30.61707800000001,76.371076,National Highway 1   Fatehgarh Sahib Punjab India,46.374475022379144,211.34321259359314
111,30.614758,76.374871,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,46.820079987693504,210.89760762827882
112,30.61236,76.37893299999998,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,47.29165313949938,210.4260344764729
113,30.61032,76.382329,1  Sirhind Fatehgarh Sahib Punjab India,47.688125195829045,210.02956242014324
114,30.60803413391113,76.38621520996094,"Jammu - Delhi Road, Bank colony, Sirhind, Punjab 140406, India",48.138782374421645,209.5789052415506
115,30.605796,76.39005300000002,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,48.58263500701241,209.13505260895985
116,30.604124,76.392987,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,48.919564576343916,208.79812303962842
117,30.60186400000001,76.396738,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,49.35793410428353,208.35975351168872
118,30.599687576293945,76.40061950683594,"Sirhind Rd, Bank colony, Sirhind, Punjab 140406, India",49.80153017395578,207.9161574420165
119,30.597348999999998,76.40429300000002,Gandhi Nagar Rd  Mandi Gobindgarh Fatehgarh Sahib Punjab India,50.23894093814228,207.47874667783
120,30.595021999999997,76.408436,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,50.71267573791089,207.00501187806128
121,30.592993,76.411867,National Highway 1   Fatehgarh Sahib Punjab India,51.11126738577054,206.60642023020168
122,30.59078,76.41569799999998,National Highway 1  Sirhind Fatehgarh Sahib Punjab India,51.55307359144558,206.16461402452663
123,30.588564,76.419484,National Highway 1   Fatehgarh Sahib Punjab India,51.991490144018115,205.72619747195407
124,30.586333000000003,76.423307,National Highway 1   Fatehgarh Sahib Punjab India,52.4337850592593,205.2839025567129
125,30.584189000000002,76.426951,National Highway 1   Fatehgarh Sahib Punjab India,52.85646279718666,204.8612248187856
126,30.581946999999996,76.430702,National Highway 1   Fatehgarh Sahib Punjab India,53.29375497150671,204.4239326444656
127,30.58005332946777,76.43383026123047,"Jammu - Delhi Road, Punjab 140701, India",53.659964958180936,204.05772265779132
128,30.578115999999998,76.43728,National Highway 1   Fatehgarh Sahib Punjab India,54.05445935203198,203.66322826394028
129,30.575873,76.44109300000002,National Highway 1   Fatehgarh Sahib Punjab India,54.49673832457013,203.2209492914021
130,30.573531,76.445093,National Highway 1   Fatehgarh Sahib Punjab India,54.96003058085068,202.7576570351216
131,30.571367,76.448676,National Highway 1   Fatehgarh Sahib Punjab India,55.37918519101795,202.3385024249543
132,30.56914,76.452676,National Highway 1   Fatehgarh Sahib Punjab India,55.83546936947566,201.8822182464966
133,30.566836,76.456453,National Highway 1   Fatehgarh Sahib Punjab India,56.27878593243428,201.438901683538
134,30.565002000000003,76.459698,National Highway 1   Fatehgarh Sahib Punjab India,56.65060712394894,201.0670804920233
135,30.562587,76.463698,National Highway 1   Fatehgarh Sahib Punjab India,57.118517808781434,200.5991698071908
136,30.56045913696289,76.46736145019531,"Jammu - Delhi Road, Punjab 140701, India",57.54181031116372,200.17587730480847
137,30.558349,76.47103100000002,NH 44   Fatehgarh Sahib Punjab India,57.96450439802258,199.75318321794967
138,30.555815999999997,76.47524399999998,National Highway 1   Fatehgarh Sahib Punjab India,58.456682634505064,199.26100498146718
139,30.553547,76.479271,National Highway 1   Fatehgarh Sahib Punjab India,58.917722653519036,198.7999649624532
140,30.55128,76.483111,National Highway 1   Fatehgarh Sahib Punjab India,59.36371617691907,198.3539714390532
141,30.549069,76.487156,NH 44   Fatehgarh Sahib Punjab India,59.82275400697922,197.89493360899303
142,30.546964645385746,76.49055480957031,"Jammu - Delhi Road, Punjab 140701, India",60.223728691202716,197.49395892476952
143,30.544791666666665,76.49417317708334,"Jammu - Delhi Road, Punjab 140701, India",60.64631371953512,197.07137389643714
144,30.542571,76.498,National Highway 1  Jiuna Pura Fatehgarh Sahib Punjab India,61.08840945833683,196.6292781576354
145,30.54048400000001,76.501529,National Highway 1  Jiuna Pura Fatehgarh Sahib Punjab India,61.49853837093481,196.2191492450374
146,30.53808900000001,76.50545799999998,National Highway 1   Fatehgarh Sahib Punjab India,61.95967567119625,195.758011944776
147,30.536162,76.508871,National Highway 1  Jiuna Pura Fatehgarh Sahib Punjab India,62.35070905126885,195.3669785647034
148,30.533802,76.5128,National Highway 1    Punjab India,62.809636763940226,194.908050852032
149,30.531467,76.516862,National Highway 1  Jiuna Pura Fatehgarh Sahib Punjab India,63.27757575065843,194.44011186531384
150,30.529298,76.520578,National Highway 1    Punjab India,63.707690693175536,194.00999692279674
151,30.527273,76.524062,NH 1    Punjab India,64.11042710134102,193.60726051463126
152,30.525142,76.527751,National Highway 1    Punjab India,64.53605589347602,193.18163172249626
153,30.522776,76.5312,National Highway 1   Fatehgarh Sahib Punjab India,64.95839916367532,192.75928845229686
154,30.52089691162109,76.53492736816406,"Jammu - Delhi Road, Chandu Khurd, Punjab 140401, India",65.37237595543472,192.34531166053762
155,30.51901054382324,76.5380859375,"Jammu - Delhi Road, Chandu Khurd, Punjab 140401, India",65.74066617837073,191.97702143760154
156,30.516740000000002,76.54191999999998,National Highway 1   Patiala Punjab India,66.18651762359426,191.531169992378
157,30.514762,76.544942,National Highway 1    Punjab India,66.55013992929703,191.1675476866752
158,30.512833,76.54879100000002,National Highway 1   Patiala Punjab India,66.97701687196388,190.7406707440084
159,30.5107479095459,76.55223846435547,"Jammu - Delhi Road, Punjab 140401, India",67.3806704677323,190.33701714824002
160,30.508337020874023,76.55628204345703,"Jammu - Delhi Road, Punjab 140401, India",67.85193360970477,189.8657540062675
161,30.506511688232425,76.55944061279297,"Jammu - Delhi Road, Punjab 140401, India",68.21645634957694,189.5012312663953
162,30.50448036193848,76.5629653930664,"Jammu - Delhi Road, Rajpura, Punjab 140401, India",68.62290140333792,189.0947862126344
163,30.502013,76.56705799999997,National Highway 1   Patiala Punjab India,69.10161841575179,188.6160692002205
164,30.49984931945801,76.57091522216797,"Jammu - Delhi Road, Rajpura, Punjab 140401, India",69.54280766444249,188.17487995152985
165,30.497509,76.574676,NH 44   Patiala Punjab India,69.98739836626656,187.7302892497057
166,30.495146999999996,76.578684,National Highway 1   Patiala Punjab India,70.45282439794727,187.26486321802503
167,30.493427,76.583209,National Highway 1   Patiala Punjab India,70.92725067139645,186.79043694457584
168,30.493367,76.586853,National Highway 1  Rajpura Patiala Punjab India,71.27715761794782,186.4405299980245
169,30.493127,76.591831,National Highway 1  Rajpura Patiala Punjab India,71.75581333710501,185.96187427886727
170,30.492971,76.59570699999998,National Highway 1  Rajpura Patiala Punjab India,72.12833329564984,185.58935432032246
171,30.492482,76.600578,NH 44  Rajpura Patiala Punjab India,72.59911052282364,185.1185770931487
172,30.48922119140625,76.60242513020833,"Jammu - Delhi Road, Rajpura, Punjab 140401, India",73.00176211601159,184.71592549996063
173,30.485631,76.603538,National Highway 1   Patiala Punjab India,73.41386569473242,184.3038219212399
174,30.48152669270833,76.604345703125,"312, Dalima Vihar, Kharajpur, Rajpura, Punjab 140401, India",73.87543347004237,183.84225414592999
175,30.478589000000003,76.606987,National Highway 1  Rajpura Patiala Punjab India,74.28820882264044,183.4294787933319
176,30.477109,76.609636,National Highway 1  Rajpura Patiala Punjab India,74.59089434204655,183.12679327392576
177,30.474672317504893,76.61390686035156,"Jammu - Delhi Road, Kharajpur, Rajpura, Punjab 140417, India",75.08196712582756,182.63572049014482
178,30.472416,76.61784,National Highway 1  Rajpura Patiala Punjab India,75.5349681146992,182.1827195012732
179,30.470289,76.62159100000002,National Highway 1  Rajpura Patiala Punjab India,75.96548397461726,181.7522036413551
180,30.46783447265625,76.62574055989583,"Jammu - Delhi Road, Punjab 140417, India",76.44800810065483,181.26967951531762
181,30.46552,76.629689,National Highway 1  Rajpura Patiala Punjab India,76.90583859138837,180.811849024584
182,30.46317800000001,76.633751,NH 44  Rajpura Patiala Punjab India,77.3744325339367,180.34325508203568
183,30.460956,76.637849,National Highway 1  Rajpura Patiala Punjab India,77.83872304154183,179.87896457443054
184,30.458596000000004,76.641796,National Highway 1   Patiala Punjab India,78.29930911241074,179.4183785035616
185,30.456998,76.644524,National Highway 1  Rajpura Patiala Punjab India,78.61557914542337,179.10210847054898
186,30.4548,76.648453,National Highway 1  Rajpura Patiala Punjab India,79.06476538108002,178.65292223489234
187,30.452807,76.65192900000002,National Highway 1  Rajpura Patiala Punjab India,79.4651053358813,178.25258228009102
188,30.450741999999998,76.655369,NH 1   Patiala Punjab India,79.8670639457248,177.85062367024761
189,30.448673,76.658978,National Highway 1   Patiala Punjab India,80.28271814817889,177.4349694677934
190,30.446533000000002,76.662622,NH 44   Patiala Punjab India,80.70555173450803,177.0121358814643
191,30.444449,76.666516,National Highway 1  Rajpura Patiala Punjab India,81.14517987100956,176.57250774496282
192,30.44228,76.669947,National Highway 1   Patiala Punjab India,81.55313878587991,176.16454883009246
193,30.440307,76.673378,National Highway 1   Patiala Punjab India,81.9486861034012,175.76900151257115
194,30.438268661499023,76.67701721191406,"Service Rd, Shambhoo Khurd, Punjab 140417, India",82.36493921586373,175.35274840010865
195,30.4364,76.680178,NH 1   Patiala Punjab India,82.73250442050694,174.9851831954654
196,30.434258000000003,76.68374200000002,National Highway 1   Patiala Punjab India,83.14916105737491,174.56852655859745
197,30.432198,76.687618,National Highway 1   Patiala Punjab India,83.58596162045983,174.1317259955125
198,30.429793,76.691556,National Highway 1   Patiala Punjab India,84.04878308555901,173.66890453041333
199,30.42765300000001,76.69514699999998,NH 44   Patiala Punjab India,84.46746689930312,173.25022071666925
200,30.425742,76.698676,National Highway 1   Patiala Punjab India,84.867248904775,172.85043871119737
201,30.42342,76.702551,National Highway 1   Patiala Punjab India,85.31986054837513,172.3978270675972
202,30.421471,76.706276,National Highway 1   Patiala Punjab India,85.73790585820952,171.9797817577628
203,30.41904640197754,76.71005249023438,"Jammu - Delhi Road, Bapraur, Punjab 140417, India",86.18945517250313,171.52823244346922
204,30.417553,76.713538,National Highway 1   Ambala Punjab India,86.56302849686182,171.1546591191105
205,30.415127000000002,76.717067,NH 44   Ambala Punjab India,86.99580996094849,170.72187765502383
206,30.412996000000003,76.72054200000002,NH 1   Patiala Punjab India,87.40482342801813,170.3128641879542
207,30.411111,76.72416899999997,National Highway 1   Ambala Punjab India,87.81117471903181,169.90651289694046
208,30.408772999999997,76.728373,National Highway 1   Ambala Punjab India,88.29112815362083,169.42655946235146
209,30.406641999999998,76.731724,NH 1   Patiala Punjab India,88.69049160239571,169.0271960135766
210,30.40446,76.735493,Toll Booths Shambu Punjab,89.12601383065575,168.59167378531657
211,30.403249,76.73863100000001,National Highway 1   Ambala Haryana India,89.45608940966018,168.26159820631216
212,30.402113,76.74257800000002,NH 44   Ambala Haryana India,89.85573498707285,167.8619526288995
213,30.400798797607425,76.74674224853516,"Jhansa-Tangori Rd, Haryana 133006, India",90.28159724614336,167.436090369829
214,30.399533,76.75134200000002,National Highway 1   Ambala Haryana India,90.74535817624759,166.97232943972475
215,30.398096000000002,76.75544000000002,National Highway 1   Ambala Haryana India,91.170169246141,166.54751836983132
216,30.39698982238769,76.75902557373047,"Jhansa-Tangori Rd, Ghel, Ambala, Haryana 133006, India",91.53591175413692,166.18177586183543
